,gender,ageBroad,meansOfControlDebtBondage,meansOfControlTakesEarnings,meansOfControlRestrictsFinancialAccess,meansOfControlThreats,meansOfControlPsychologicalAbuse,meansOfControlPhysicalAbuse,meansOfControlSexualAbuse,meansOfControlFalsePromises,meansOfControlPsychoactiveSubstances,meansOfControlRestrictsMovement,meansOfControlRestrictsMedicalCare,meansOfControlExcessiveWorkingHours,meansOfControlUsesChildren,meansOfControlThreatOfLawEnforcement,meansOfControlWithholdsNecessities,meansOfControlWithholdsDocuments,meansOfControlOther,meansOfControlNotSpecified,age_category
0,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
1,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
2,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
3,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
4,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
5,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
6,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
7,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
8,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
9,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
10,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
11,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
12,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
13,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
14,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
15,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
16,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
17,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
18,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
19,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
20,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
21,Female,18--20,,,,,,,,,,,,,,,,,,1.0,adult
22,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
23,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
24,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
25,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
26,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
27,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
28,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
29,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
30,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
31,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
32,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
33,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
34,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
35,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
36,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
37,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
38,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
39,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
40,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
41,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
42,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
43,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
44,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
45,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
46,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
47,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
48,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
49,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
50,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
51,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
52,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
53,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
54,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
55,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
56,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
57,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
58,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
59,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
60,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
61,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
62,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
63,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
64,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
65,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
66,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
67,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
68,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
69,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
70,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
71,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
72,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
73,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
74,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
75,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
76,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
77,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
78,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
79,Female,21--23,,,,,,,,,,,,,,,,,,1.0,adult
80,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
81,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
82,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
83,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
84,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
85,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
86,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
87,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
88,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
89,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
90,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
91,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
92,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
93,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
94,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
95,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
96,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
97,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
98,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
99,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
100,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
101,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
102,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
103,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
104,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
105,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
106,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
107,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
108,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
109,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
110,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
111,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
112,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
113,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
114,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
115,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
116,Female,24--26,,,,,,,,,,,,,,,,,,1.0,adult
