Format,Revised Format
1950s Oldies,Oldies
1960s and 1970s Oldies,Oldies
"AAA, progressive, blues, R&B, jazz & folk",Jazz
AAA/NPR News,Talk
AC/Talk,Talk
Active rock,Rock
Adult Standards,Standards
Adult album alternative,Alternative
Adult contemporary,Contemporary
Adult hits,Top40
Adult standards,Standards
Album Adult Alternative,Alternative
Album Rock,Rock
Album-oriented rock,Rock
Alternative radio,Alternative
Alternative rock,Rock
Americana,Rock
Bollywood (Indian) Music,Ethnic
Campus radio,Standards
Catholic,Religious
Christian,Religious
Classic country,Country
Classic hip-hop,Urban
Classic hits,Top40
Classic rock,Rock
Classical,Classical
Classical music,Classical
College,Other
Contemporary Christian,Religious
Country,Country
Country music,Country
Ethnic,Ethnic
Freeform,Variety
Freeform/Alternative,Alternative
Full service,Variety
Full service/news/talk,Talk
Full-service,Variety
Full-service/classic hits,Variety
Hip-hop,Urban
Hispanic,Spanish
Hot AC,Contemporary
Hot adult contemporary,Contemporary
Independent,Other
Jazz,Jazz
"Jazz, Ethnic",Jazz
Jazz/Community,Jazz
Jazz/mixed,Jazz
Mainstream jazz,Jazz
Mainstream rock,Rock
Modern rock,Rock
NPR,Talk
News radio,Talk
News/Talk,Talk
News/Talk Information,Talk
News/Talk radio,Talk
News/Talk/Public radio,Talk
Oldies,Oldies
Other,Other
Public radio,Talk
Regional Mexican,Spanish
Religious,Religious
Religious (Bible Broadcasting Network),Religious
Religious (CSN International),Religious
Religious (Catholic),Religious
Religious Broadcasting,Religious
Religious Teaching,Religious
Religious broadcasting,Religious
Rhythmic Top 40,Top40
Rhythmic contemporary,Contemporary
Rock,Rock
Rock (weekdays) & Talk/Variety (weekends),Rock
Rock/Classic rock,Rock
Silent,Other
Smooth jazz/Blues,Jazz
Soft adult contemporary,Contemporary
Soft oldies,Oldies
Spanish,Spanish
Spanish Christian,Spanish
Spanish Hits,Spanish
Spanish Religious,Spanish
Spanish/Adult Contemporary,Spanish
Sports,Sports
Sports (ESPN),Sports
Sports (FSR),Sports
Sports radio,Sports
Sports talk,Sports
Sports/Talk,Sports
Stunting,Urban
Talk,Talk
Talk radio,Talk
Talk radio (daytime) & Oldies (nights/weekends),Oldies
Talk/Variety,Talk
Top 40,Top40
Top 40 Mainstream,Top40
Top 40/CHR,Top40
Urban adult contemporary,Urban
Urban contemporary,Urban
Urban oldies,Oldies
Variety,Variety
Variety/Pacifica,Variety
World Ethnic,Ethnic
