Name,Nationality,Overall,Wage €'s,Wage $'s, Annualized Salary Wage €'s ,Annualized Salary Wage S's,Age,Potential
L. Messi,Argentina,94,565, 649 ," 29,380,000 ","33,770,115",31,94
Cristiano Ronaldo,Portugal,94,405, 466 ," 21,060,000 ","24,206,897",33,94
Neymar Jr,Brazil,92,290, 333 ," 15,080,000 ","17,333,333",26,93
De Gea,Spain,91,260, 299 ," 13,520,000 ","15,540,230",27,93
K. De Bruyne,Belgium,91,355, 408 ," 18,460,000 ","21,218,391",27,92
E. Hazard,Belgium,91,340, 391 ," 17,680,000 ","20,321,839",27,91
L. Modrić,Croatia,91,420, 483 ," 21,840,000 ","25,103,448",32,91
L. Suárez,Uruguay,91,455, 523 ," 23,660,000 ","27,195,402",31,91
Sergio Ramos,Spain,91,380, 437 ," 19,760,000 ","22,712,644",32,91
J. Oblak,Slovenia,90,94, 108 ," 4,888,000 ","5,618,391",25,93
R. Lewandowski,Poland,90,205, 236 ," 10,660,000 ","12,252,874",29,90
T. Kroos,Germany,90,355, 408 ," 18,460,000 ","21,218,391",28,90
D. Godín,Uruguay,90,125, 144 ," 6,500,000 ","7,471,264",32,90
David Silva,Spain,90,285, 328 ," 14,820,000 ","17,034,483",32,90
N. Kanté,France,89,225, 259 ," 11,700,000 ","13,448,276",27,90
P. Dybala,Argentina,89,205, 236 ," 10,660,000 ","12,252,874",24,94
H. Kane,England,89,205, 236 ," 10,660,000 ","12,252,874",24,91
A. Griezmann,France,89,145, 167 ," 7,540,000 ","8,666,667",27,90
M. ter Stegen,Germany,89,240, 276 ," 12,480,000 ","14,344,828",26,92
T. Courtois,Belgium,89,240, 276 ," 12,480,000 ","14,344,828",26,90
Sergio Busquets,Spain,89,315, 362 ," 16,380,000 ","18,827,586",29,89
E. Cavani,Uruguay,89,200, 230 ," 10,400,000 ","11,954,023",31,89
M. Neuer,Germany,89,130, 149 ," 6,760,000 ","7,770,115",32,89
S. Agüero,Argentina,89,300, 345 ," 15,600,000 ","17,931,034",30,89
G. Chiellini,Italy,89,215, 247 ," 11,180,000 ","12,850,575",33,89
K. Mbappé,France,88,100, 115 ," 5,200,000 ","5,977,011",19,95
M. Salah,Egypt,88,255, 293 ," 13,260,000 ","15,241,379",26,89
Casemiro,Brazil,88,285, 328 ," 14,820,000 ","17,034,483",26,90
J. Rodríguez,Colombia,88,315, 362 ," 16,380,000 ","18,827,586",26,89
L. Insigne,Italy,88,165, 190 ," 8,580,000 ","9,862,069",27,88
Isco,Spain,88,315, 362 ," 16,380,000 ","18,827,586",26,91
C. Eriksen,Denmark,88,205, 236 ," 10,660,000 ","12,252,874",26,91
Coutinho,Brazil,88,340, 391 ," 17,680,000 ","20,321,839",26,89
P. Aubameyang,Gabon,88,265, 305 ," 13,780,000 ","15,839,080",29,88
M. Hummels,Germany,88,160, 184 ," 8,320,000 ","9,563,218",29,88
Marcelo,Brazil,88,285, 328 ," 14,820,000 ","17,034,483",30,88
G. Bale,Wales,88,355, 408 ," 18,460,000 ","21,218,391",28,88
H. Lloris,France,88,150, 172 ," 7,800,000 ","8,965,517",31,88
G. Higuaín,Argentina,88,245, 282 ," 12,740,000 ","14,643,678",30,88
Thiago Silva,Brazil,88,165, 190 ," 8,580,000 ","9,862,069",33,88
S. Handanovič,Slovenia,88,110, 126 ," 5,720,000 ","6,574,713",33,88
G. Buffon,Italy,88,77, 89 ," 4,004,000 ","4,602,299",40,88
S. Umtiti,France,87,205, 236 ," 10,660,000 ","12,252,874",24,92
M. Icardi,Argentina,87,130, 149 ," 6,760,000 ","7,770,115",25,90
K. Koulibaly,Senegal,87,115, 132 ," 5,980,000 ","6,873,563",27,90
